Angle,Distance,StartBit,Health
124.03,1405.75,1.0,33.0
274.17,3969.25,1.0,2.0
278.17,6464.5,1.0,49.0
55.95,1856.0,0.0,0.0
59.48,0.0,0.0,0.0
60.66,0.0,0.0,0.0
57.88,367.25,0.0,15.0
59.09,369.75,0.0,15.0
151.94,14663.75,0.0,15.0
100.25,4360.75,1.0,27.0
174.27,3969.5,1.0,56.0
79.14,438.25,1.0,9.0
79.66,442.0,0.0,15.0
4.05,2808.75,1.0,3.0
124.19,2832.75,0.0,15.0
261.47,129.0,0.0,8.0
106.63,0.0,0.0,0.0
107.8,0.0,0.0,0.0
0.42,128.0,1.0,5.0
108.59,893.5,0.0,15.0
109.83,3971.5,0.0,10.0
360.45,3971.25,1.0,39.0
24.09,3971.5,1.0,49.0
127.47,862.75,0.0,15.0
128.66,856.0,0.0,15.0
26.72,4175.5,1.0,16.0
124.09,828.75,1.0,2.0
138.08,825.25,0.0,15.0
146.33,824.75,0.0,15.0
147.59,817.5,0.0,15.0
502.75,13330.5,0.0,15.0
151.03,825.5,0.0,15.0
154.53,837.25,0.0,15.0
155.7,837.75,0.0,15.0
157.97,837.75,0.0,15.0
124.09,5206.25,1.0,16.0
124.09,5317.75,0.0,23.0
284.67,3971.5,1.0,12.0
185.3,1816.0,1.0,60.0
4.45,3975.25,0.0,14.0
194.11,1066.0,0.0,15.0
205.44,12239.5,0.0,0.0
124.33,2756.75,1.0,62.0
206.17,14415.5,0.0,15.0
276.81,3978.25,1.0,30.0
124.05,6937.25,0.0,15.0
217.97,499.5,0.0,15.0
219.03,499.25,0.0,15.0
220.25,502.0,0.0,15.0
221.58,0.0,0.0,15.0
224.61,597.0,0.0,15.0
15.98,15311.5,0.0,28.0
124.05,7467.75,0.0,28.0
236.05,486.75,1.0,41.0
125.97,7730.25,0.0,15.0
242.63,517.25,0.0,15.0
246.19,531.25,0.0,15.0
247.09,7979.75,0.0,15.0
250.52,3968.0,0.0,15.0
1.0,8230.25,1.0,50.0
260.2,2434.25,0.0,15.0
459.03,15436.5,1.0,11.0
15.84,458.5,0.0,33.0
274.3,15936.75,0.0,12.0
15.33,463.5,0.0,34.0
287.73,9024.0,0.0,0.0
284.86,576.75,0.0,15.0
290.34,15212.25,0.0,15.0
18.84,655.5,0.0,36.0
304.19,0.0,0.0,15.0
0.88,3456.0,0.0,0.0
313.34,10109.75,0.0,15.0
31.23,3970.25,1.0,24.0
328.86,0.0,0.0,15.0
331.73,538.5,0.0,8.0
113.3,3970.5,1.0,27.0
23.81,14543.5,1.0,42.0
348.81,487.5,0.0,9.0
99.36,3969.75,1.0,33.0
124.05,11390.25,1.0,0.0
3.02,0.0,0.0,0.0
5.25,128.0,0.0,0.0
5.58,437.25,0.0,15.0
192.03,3969.5,0.0,15.0
17.56,387.0,0.0,15.0
38.77,15426.5,0.0,15.0
124.03,907.25,0.0,49.0
124.03,955.75,0.0,43.0
31.73,358.75,0.0,15.0
11.14,5967.5,1.0,4.0
270.14,3969.25,1.0,37.0
11.03,847.5,1.0,5.0
280.17,6.75,1.0,47.0
55.81,0.0,0.0,0.0
56.98,128.0,0.0,0.0
0.22,1886.75,1.0,43.0
124.03,14599.75,0.0,51.0
66.7,395.5,0.0,15.0
70.56,400.25,0.0,0.0
71.38,405.5,0.0,15.0
242.28,3969.5,0.0,15.0
13.11,15823.5,1.0,9.0
78.14,2729.75,0.0,15.0
88.83,0.0,0.0,15.0
15.66,3663.5,0.0,15.0
89.42,2933.75,0.0,15.0
96.03,290.0,0.0,7.0
96.67,287.25,0.0,8.0
101.75,0.0,0.0,0.0
105.28,6720.5,0.0,0.0
113.53,4815.5,0.0,15.0
111.86,932.25,0.0,15.0
114.97,918.0,0.0,15.0
115.31,14162.75,0.0,15.0
27.63,11855.5,0.0,14.0
16.47,3971.5,1.0,16.0
126.06,867.5,0.0,15.0
411.28,4752.0,0.0,15.0
26.19,6223.5,0.0,16.0
141.45,822.75,0.0,15.0
142.61,8563.75,0.0,15.0
146.13,12732.5,0.0,15.0
149.69,10831.5,0.0,15.0
124.09,5204.75,0.0,16.0
169.53,896.0,0.0,40.0
270.67,3971.5,1.0,10.0
178.28,1643.0,0.0,15.0
51.42,14287.5,0.0,15.0
314.09,5143.0,0.0,22.0
186.36,128.5,0.0,15.0
124.13,6253.25,0.0,0.0
196.58,922.75,0.0,15.0
197.77,25.5,0.0,15.0
199.06,2865.5,0.0,15.0
124.22,6480.75,0.0,15.0
207.7,2730.0,0.0,15.0
207.23,2734.25,0.0,15.0
208.42,6479.5,0.0,15.0
83.03,504.5,1.0,26.0
217.88,7086.25,0.0,15.0
19.61,15055.5,0.0,15.0
227.17,13647.5,0.0,15.0
346.97,3969.75,0.0,15.0
14.91,207.5,1.0,16.0
124.61,7876.75,0.0,15.0
361.2,3970.0,0.0,15.0
398.97,32.25,1.0,19.0
258.38,3970.75,0.0,15.0
105.44,577.25,0.0,32.0
267.28,513.75,0.0,11.0
15.05,2690.0,1.0,29.0
16.06,6991.5,1.0,34.0
280.17,7360.5,0.0,15.0
290.08,0.0,0.0,0.0
287.97,4020.5,0.0,15.0
299.13,5442.25,1.0,51.0
301.83,3968.0,0.0,15.0
4.06,11215.5,0.0,0.0
318.3,0.0,0.0,0.0
321.81,0.0,0.0,0.0
319.97,568.5,0.0,0.0
321.16,7286.0,0.0,15.0
329.92,0.0,0.0,0.0
326.67,16347.0,0.0,11.0
16.75,3016.5,1.0,41.0
335.52,876.75,0.0,15.0
336.83,833.75,0.0,15.0
338.14,10959.5,0.0,15.0
23.8,5455.5,1.0,42.0
22.81,3983.5,0.0,42.0
345.33,3648.5,0.0,15.0
99.36,3969.75,1.0,32.0
5.88,131.75,0.0,15.0
8.83,975.5,0.0,0.0
192.03,3969.5,1.0,35.0
24.8,369.75,0.0,15.0
11.34,11343.5,0.0,3.0
11.3,3983.5,0.0,3.0
36.14,354.5,1.0,3.0
38.06,354.25,0.0,15.0
39.02,8581.0,0.0,15.0
124.03,1367.25,1.0,33.0
124.03,1434.25,0.0,33.0
48.52,355.75,0.0,15.0
53.5,0.0,0.0,0.0
54.67,0.0,0.0,0.0
55.84,0.0,0.0,0.0
60.55,3968.0,0.0,0.0
124.03,1964.25,0.0,51.0
186.03,2760.25,0.0,59.0
72.52,2389.25,0.0,15.0
79.45,442.75,0.0,15.0
85.19,2801.25,0.0,0.0
338.33,15745.75,1.0,5.0
89.3,9483.25,0.0,15.0
98.14,7360.0,0.0,0.0
101.66,0.0,0.0,0.0
106.36,0.0,0.0,0.0
109.89,0.0,0.0,15.0
111.06,0.0,0.0,0.0
302.23,2957.25,0.0,0.0
111.69,3971.5,0.0,15.0
156.44,3971.5,1.0,37.0
322.45,131.25,0.0,14.0
246.48,3971.25,1.0,32.0
130.59,856.5,0.0,15.0
131.73,3987.5,0.0,15.0
32.52,3971.25,1.0,5.0
141.33,821.75,0.0,15.0
146.02,830.75,0.0,15.0
147.19,12751.5,0.0,15.0
154.17,13391.5,0.0,15.0
70.61,3971.25,1.0,29.0
124.09,3981.75,1.0,16.0
28.66,16207.5,1.0,16.0
334.67,16195.5,1.0,37.0
177.97,1701.75,0.0,15.0
181.56,13015.0,0.0,15.0
186.17,1812.0,0.0,15.0
187.3,6296.75,0.0,13.0
190.98,1627.25,0.0,15.0
116.75,3971.75,1.0,37.0
198.83,2873.25,0.0,15.0
199.98,3979.0,0.0,15.0
87.41,12367.5,1.0,25.0
464.81,3978.25,1.0,18.0
124.81,6967.75,1.0,56.0
15.77,2127.5,0.0,15.0
225.64,558.0,0.0,15.0
14.75,6095.5,0.0,15.0
51.77,10717.25,0.0,15.0
235.34,487.75,0.0,15.0
328.92,7745.75,1.0,25.0
243.47,7375.5,0.0,15.0
247.88,544.75,0.0,15.0
249.09,549.25,0.0,15.0
251.53,3702.5,0.0,15.0
255.69,3970.5,0.0,15.0
22.61,8015.5,1.0,32.0
24.06,3202.0,0.0,31.0
271.77,515.0,0.0,9.0
32.8,3970.0,0.0,11.0
417.08,3969.75,1.0,58.0
289.7,0.0,0.0,0.0
371.28,14051.75,0.0,15.0
295.83,597.25,0.0,36.0
296.95,145.0,0.0,15.0
1.19,3968.0,1.0,7.0
4.91,1736.5,0.0,0.0
5.47,13376.5,1.0,39.0
322.67,0.0,0.0,0.0
327.39,15183.5,0.0,15.0
329.28,534.25,0.0,12.0
330.39,2196.25,0.0,12.0
342.66,773.5,0.0,15.0
340.08,740.5,0.0,15.0
53.42,3970.0,0.0,15.0
348.42,464.5,0.0,15.0
349.42,467.75,0.0,15.0
350.64,3980.75,0.0,15.0
89.36,129.75,1.0,62.0
357.0,433.0,0.0,15.0
2.52,832.0,0.0,0.0
124.05,12864.5,1.0,8.0
6.25,432.75,0.0,15.0
8.69,420.75,0.0,15.0
20.38,378.25,0.0,15.0
124.11,814.75,0.0,15.0
338.03,3969.25,1.0,47.0
10.11,14927.5,1.0,15.0
124.03,1131.25,0.0,37.0
446.03,8900.5,0.0,36.0
41.08,353.75,0.0,15.0
124.03,1473.75,0.0,15.0
124.03,351.75,0.0,34.0
53.17,128.0,0.0,0.0
57.88,0.0,0.0,0.0
59.05,0.0,0.0,0.0
60.22,0.0,0.0,0.0
0.03,9664.5,0.0,61.0
78.95,267.25,0.0,12.0
242.09,10.5,0.0,15.0
84.55,365.25,0.0,15.0
124.05,2917.25,0.0,58.0
95.3,286.5,0.0,8.0
97.53,289.25,0.0,8.0
103.64,0.0,0.0,0.0
107.16,0.0,0.0,0.0
108.33,0.0,0.0,0.0
13.03,5568.5,0.0,14.0
111.84,0.0,0.0,0.0
124.75,3454.75,0.0,15.0
330.09,9613.75,0.0,37.0
28.64,207.5,0.0,34.0
124.48,3830.25,0.0,14.0
124.09,9562.25,0.0,47.0
27.67,5839.5,1.0,15.0
133.92,837.25,0.0,15.0
137.52,828.0,0.0,15.0
